SWC271-1.p.soln:# Total time               : 299.552 s
SWC248-1.p.soln:# Total time               : 0.928 s
SWC045-1.p.soln:# Total time               : 253.946 s
SWC155-1.p.soln:# Total time               : 299.437 s
SWC412-1.p.soln:# Total time               : 0.093 s
SWC117-1.p.soln:# Total time               : 11.344 s
SWC055-1.p.soln:# Total time               : 225.195 s
SWC377-1.p.soln:# Total time               : 270.106 s
SWC376-1.p.soln:# Total time               : 300.015 s
SWC341-1.p.soln:# Total time               : 29.514 s
SWC126-1.p.soln:# Total time               : 29.369 s
SWC273-1.p.soln:# Total time               : 299.701 s
SWC390-1.p.soln:# Total time               : 225.499 s
SWC229-1.p.soln:# Total time               : 245.225 s
SWC091-1.p.soln:# Total time               : 5.577 s
SWC374-1.p.soln:# Total time               : 245.324 s
SWC409-1.p.soln:# Total time               : 225.517 s
SWC087-1.p.soln:# Total time               : 224.993 s
SWC099-1.p.soln:# Total time               : 7.324 s
SWC335-1.p.soln:# Total time               : 228.420 s
SWC056-1.p.soln:# Total time               : 225.192 s
SWC264-1.p.soln:# Total time               : 299.765 s
SWC274-1.p.soln:# Total time               : 299.527 s
SWC236-1.p.soln:# Total time               : 242.363 s
SWC329-1.p.soln:# Total time               : 299.438 s
SWC227-1.p.soln:# Total time               : 242.551 s
SWC084-1.p.soln:# Total time               : 248.333 s
SWC093-1.p.soln:# Total time               : 233.651 s
SWC356-1.p.soln:# Total time               : 224.957 s
SWC342-1.p.soln:# Total time               : 266.724 s
SWC214-1.p.soln:# Total time               : 299.406 s
SWC113-1.p.soln:# Total time               : 225.470 s
SWC088-1.p.soln:# Total time               : 9.167 s
SWC251-1.p.soln:# Total time               : 1.110 s
SWC383-1.p.soln:# Total time               : 248.095 s
SWC272-1.p.soln:# Total time               : 299.469 s
SWC066-1.p.soln:# Total time               : 11.066 s
SWC413-1.p.soln:# Total time               : 1.916 s
SWC111-1.p.soln:# Total time               : 152.750 s
SWC078-1.p.soln:# Total time               : 31.403 s
SWC345-1.p.soln:# Total time               : 225.030 s
SWC125-1.p.soln:# Total time               : 299.407 s
SWC123-1.p.soln:# Total time               : 88.314 s
SWC340-1.p.soln:# Total time               : 299.621 s
SWC062-1.p.soln:# Total time               : 225.415 s
SWC414-1.p.soln:# Total time               : 299.499 s
SWC107-1.p.soln:# Total time               : 299.501 s
SWC238-1.p.soln:# Total time               : 229.025 s
SWC368-1.p.soln:# Total time               : 225.147 s
